Rank,Country,Continent,Total
1,Malaysia,Asia,2980753
2,China,Asia,2072079
3,Singapore,Asia,1934445
4,Australia,Oceania,1386803
5,Timor Leste,Asia,1178381
6,Indonesia,Asia,664645
7,India,Asia,657300
8,Japan,Asia,519623
9,United States of America,North America,457832
10,United Kingdom,Europe,397624
11,South Korea,Asia,388316
12,France,Europe,283814
13,Germany,Europe,277653
14,Philippines,Asia,260980
15,Netherlands,Europe,215287
16,Taiwan,Asia,207490
17,R u s i a,Europe,158943
18,Saudi Arabia,Middle East,157512
19,New Zealand,Oceania,149010
20,Thailand,Asia,136699
